Unique ID,Price,date,Postcode,Property type,old/new,Duration,PAON,SAON,Street,Locality,Town,District,County,Record Status
{439E9C34-6CA9-46F1-905E-A96989EF89F7},365000,17/05/2012 00:00,BA1 2PR,F,N,L,1,FLAT 4,CATHARINE PLACE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{9325CCBC-460F-4C67-AA53-AB63D6B2C97B},170000,11/05/2012 00:00,BA2 8TL,S,N,F,74,,OLD ENGLAND WAY,PEASEDOWN ST JOHN,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{FBB11F02-23FA-4EDA-A9B3-ACD42CFC5F44},195000,30/04/2012 00:00,BA2 2UE,S,N,F,592,,WELLSWAY,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{CAD56FA9-26D8-4386-BD70-AE372DBD73CF},277500,11/05/2012 00:00,BA1 6QN,T,N,L,22,,EASTVILLE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{BD166E6D-242A-4D52-9562-AE70DFC31E71},234000,17/05/2012 00:00,BA2 4DH,F,N,L,14,FIRST FLOOR FLAT,JOHNSTONE STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{E87673D8-5A86-404D-AB1B-B27D8BFDD339},245000,20/04/2012 00:00,BA2 0HB,D,N,F,64,,SOUTHLANDS DRIVE,TIMSBURY,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{78A148A7-8178-4250-8612-B300DB0CD962},306000,04/05/2012 00:00,BA2 8LB,D,N,F,63,,NEW BUILDINGS,PEASEDOWN ST JOHN,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{A3E48390-4926-4F17-8BDA-B7CA1DA854D2},250000,04/05/2012 00:00,BA2 9HR,S,N,F,33,,,MARKSBURY,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{AF9E701C-B84F-4D63-8F55-B80C99901451},695000,11/05/2012 00:00,BA1 3LE,S,N,F,160,,NEWBRIDGE ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{6B8CF485-FDE7-4C3E-8457-B9BCDAA5511D},160000,11/05/2012 00:00,BA1 3JD,T,N,F,55,,BRASSMILL LANE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{47EDEA3C-58F7-44DE-9612-BA181542CEB5},120000,13/04/2012 00:00,BA2 5PE,T,N,F,112,,QUEENS DRIVE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{8E55AD02-09A3-4449-9351-BE701A2077BB},248500,27/04/2012 00:00,BA2 3QJ,T,N,F,27,,ST KILDAS ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{BE1A7D15-C5D9-46C1-BB65-C56160B26175},1765000,11/05/2012 00:00,BA1 5EZ,T,N,F,4,,LANSDOWN PLACE WEST,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{A4FF61F0-6256-4CF4-A028-C926D6B7EE57},142500,16/05/2012 00:00,BA1 1NW,F,N,L,5,FLAT 3,ABBEY GREEN,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{285AED05-743A-4776-9FFA-CA691BEDCFAB},277500,04/05/2012 00:00,BA1 7RD,S,N,F,7,,VICTORIA GARDENS,BATHEASTON,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{DACAAEF9-55C7-4EC7-A764-CAA037C73023},289950,09/05/2012 00:00,BA2 5JE,S,N,F,27,,WESTERLEIGH ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{6E27ABDF-103D-4E29-8F40-CB7739A5A78C},200000,17/05/2012 00:00,BA1 4JF,T,N,F,6,,BROOKFIELD PARK,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{FDD6C6C1-7364-45FD-818C-D5D237233B4E},240000,18/01/2012 00:00,BA2 3RS,T,N,F,38,,BROOK ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{7B421B75-FA06-48C3-BEE1-D751086AF368},270000,04/05/2012 00:00,BA2 6AA,F,N,L,GLEBE HOUSE,FLAT 4,WIDCOMBE HILL,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{A7EB9DE9-97C5-4CDB-B951-DA0AE86B9CB1},175000,18/05/2012 00:00,BA1 1AR,F,Y,L,1,FLAT 17,NEW MARCHANT'S PASSAGE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{E0E85CDE-8293-42BD-B00E-DD237E4A5791},315000,18/05/2012 00:00,BA2 5ND,D,N,F,50,,ENTRY HILL PARK,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{6A1DA7CE-3516-4695-A116-DF250D1AEF14},224000,16/04/2012 00:00,BA2 3NZ,T,N,L,70,,THIRD AVENUE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{A27A2BB8-FFBB-4D21-BF15-E4B2CCCE961F},240000,20/04/2012 00:00,BA2 3QH,T,N,F,25,,CYNTHIA ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{7C3796ED-C084-427B-A16F-E9FB980FA733},142950,30/04/2012 00:00,BA2 0JX,S,N,F,27,,LANSDOWN CRESCENT,TIMSBURY,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{3396EEEE-04DC-4E65-85C2-EAC3DDEFF7EB},635000,21/05/2012 00:00,BA2 4PA,T,N,F,18,,ST MARKS ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{EDEF36A3-E510-4EBE-8D20-EADB0DB25FE2},636000,04/05/2012 00:00,BA1 2LJ,F,N,L,08-Sep,SECOND FLOOR FLAT,BROCK STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{A230E956-E453-4A42-AE98-ECAB9B8757F4},265000,26/04/2012 00:00,BA2 1LL,S,N,F,101,,MOUNT ROAD,SOUTHDOWN,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{F571B9A3-A7A0-47B5-B018-EF5199C20306},160000,27/04/2012 00:00,BA2 6NX,F,N,L,1,FLAT 4,BATHWICK STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{4E037C91-C078-4682-8D44-F405A40CCAC6},174000,08/05/2012 00:00,BA1 7RL,S,N,F,245,,LONDON ROAD EAST,BATHEASTON,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{908634EA-0AA8-42F5-A62D-0621EF544759},425000,03/11/2011 00:00,BA1 9BE,F,Y,L,EQUUS HOUSE,FLAT 1,GRANVILLE ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{6AE24F7A-751A-4F64-9C6E-077509E2803F},47000,05/06/1998 00:00,BA1 6PQ,F,N,F,27A,,BRUNSWICK STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{0FB11142-D48F-4CAD-9113-39EB6A57FB75},565000,27/10/2011 00:00,BA1 9BE,F,Y,L,EQUUS HOUSE,FLAT 3,GRANVILLE ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{7A80E3C8-168F-4B90-B0B3-4928B3E8CD5B},575000,30/11/2011 00:00,BA1 9BE,F,Y,L,EQUUS HOUSE,FLAT 7,GRANVILLE ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{6FA95335-EC16-4CB9-AA18-5EDDEAEF5595},675000,30/11/2011 00:00,BA1 9BE,F,Y,L,EQUUS HOUSE,FLAT 8,GRANVILLE ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{28B6EC17-44B9-4C79-8BFB-B52814F0041D},617500,14/12/2011 00:00,BA1 9BE,F,Y,L,EQUUS HOUSE,FLAT 6,GRANVILLE ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{917945C1-E887-46F7-9966-B915C418D1B6},60000,14/05/1999 00:00,BA1 6PQ,F,N,F,27A,,BRUNSWICK STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{38F75960-83CF-4C0B-95E5-C57598ED25D5},108000,14/06/2002 00:00,BA1 6PQ,F,N,L,27A,,BRUNSWICK STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{2D452EEF-D539-4C9F-9C29-C8176A0F3AF9},108000,14/06/2002 00:00,BA1 6PQ,F,N,F,27,,BRUNSWICK STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{31AE2AD7-34D0-401D-B966-F5BE951CA9F0},47000,05/06/1998 00:00,BA1 6PQ,F,N,L,27,,BRUNSWICK STREET,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,C
{8AD88BE7-3465-4404-AB4E-193BDFF488C0},335000,20/04/2012 00:00,BA2 4NG,T,N,L,1,,PRIOR PARK ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,D
{01260090-3AA2-4830-916E-28689E98A48A},99950,30/03/2012 00:00,BA2 5NZ,F,N,L,SELWORTHY HOUSE,FLAT 88,SEDGEMOOR ROAD,FOX HILL,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,D
{AFFC5B96-5E06-491C-B75E-00398F868585},116000,18/05/2012 00:00,BA2 1SF,F,N,L,NAISH HOUSE,FLAT 18,SHAWS WAY,TWERTON,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{62EBAF3A-50F6-42B1-8F39-011B96154462},128000,13/06/2012 00:00,BA1 6AB,F,N,L,7,FIRST FLOOR FLAT,WALCOT TERRACE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{28137257-C626-4D31-AD9C-01E1BB110BD2},318000,25/05/2012 00:00,BA1 6LA,S,N,F,4,,CHARLCOMBE RISE,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{CFF2EC9B-2C1F-43B9-856C-047B3BD14EFF},560000,28/05/2012 00:00,BA2 7JN,D,N,F,91B,,WINSLEY HILL,LIMPLEY STOKE,BATH,WILTSHIRE,WILTSHIRE,A
{C04C0362-676B-4B0C-A127-0672F99F2E92},179950,25/05/2012 00:00,BA2 1JB,S,N,F,32,,GLEBE ROAD,,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
{18891858-844E-44C5-8D68-06E094BE2624},170000,25/05/2012 00:00,BA2 8LS,T,N,F,57,,,SHOSCOMBE,BATH,BATH AND NORTH EAST SOMERSET,BATH AND NORTH EAST SOMERSET,A
